rollnumber,vote_question,vote_desc,bill_excerpt,reason,bill_number,bias_type
382,On the Motion,A bill to provide for reconciliation pursuant to section 201(b) of the concurrent resolution on the budget for fiscal year 2006.,"To provide for reconciliation pursuant to section 201(b) of the concurrent resolution on the budget for fiscal year 2006. This Act may be cited as the 'Tax Increase Prevention and Reconciliation Act of 2005'. Title I--Extension and Modification of Certain Provisions. Section 101. Increased expensing for small business. Subsections (b)(1), (b)(2), (b)(5), (c)(2), and (d)(1)(A)(ii) of section 179 (relating to election to expense certain depreciable business assets) are each amended by striking '2008' and inserting '2010'. Section 102. Capital gains and dividends rates. Section 303 of the Jobs and Growth Tax Relief Reconciliation Act of 2003 is amended by striking 'December 31, 2008' and inserting 'December 31, 2010'. Section 103. Controlled foreign corporations. (a) Subpart F Exception for Active Financing. (1) Exempt insurance income.--Paragraph (10) of section 953(e) (relating to application) is amended by striking 'January 1, 2007' and inserting 'January 1, 2009', and (b) Look-Through Treatment of Payments Between Related Controlled Foreign Corporations Under the Foreign Personal Holding Company Rules.--(1) In general.--Subsection (c) of section 954 (relating to foreign personal holding company income) is amended by adding at the end the following new paragraph: 'Look-thru rule for related controlled foreign corporations..'","These excerpts were chosen because they directly relate to the provisions of the bill that pertain to tax modifications and extensions for small businesses, capital gains, and the treatment of controlled foreign corporations. The vote concerns a reconciliation bill for fiscal year 2006, which includes significant tax policy changes that legislators need to understand in order to make an informed decision on the motion.",HR4297,200
383,On the Motion,A bill to provide for reconciliation pursuant to section 201(b) of the concurrent resolution on the budget for fiscal year 2006.,"To provide for reconciliation pursuant to section 201(b) of the concurrent resolution on the budget for fiscal year 2006. TITLE I--EXTENSION AND MODIFICATION OF CERTAIN PROVISIONS SEC. 101. INCREASED EXPENSING FOR SMALL BUSINESS. Subsections (b)(1), (b)(2), (b)(5), (c)(2), and (d)(1)(A)(ii) of section 179 (relating to election to expense certain depreciable business assets) are each amended by striking `2008' and inserting `2010'. SEC. 102. CAPITAL GAINS AND DIVIDENDS RATES. Section 303 of the Jobs and Growth Tax Relief Reconciliation Act of 2003 is amended by striking `December 31, 2008' and inserting `December 31, 2010'. SEC. 301. INCREASE IN ALTERNATIVE MINIMUM TAX EXEMPTION AMOUNT FOR 2006. (a) In General.--Section 55(d)(1) (relating to exemption amount for taxpayers other than corporations) is amended by striking `58,000' and all that follows through `2005' in subparagraph (A) and inserting `62,550 in the case of taxable years beginning in 2006', and (2) by striking `40,250' and all that follows through `2005' in subparagraph (B) and inserting `42,500 in the case of taxable years beginning in 2006'.","These excerpts were chosen because they clearly outline the main provisions of the bill that are relevant to the reconciliation process for the fiscal year 2006 budget. They highlight significant changes to tax policies affecting small businesses, capital gains, and the alternative minimum tax exemption, which are critical components that legislators are voting on. This provides a concise overview of the fiscal implications and adjustments being made, thus encapsulating the essence of the bill which the vote pertains to.",HR4297,100
384,On the Motion,A bill to provide for reconciliation pursuant to section 201(b) of the concurrent resolution on the budget for fiscal year 2006.,"To provide for reconciliation pursuant to section 201(b) of the concurrent resolution on the budget for fiscal year 2006. TITLE I--EXTENSION AND MODIFICATION OF CERTAIN PROVISIONS SEC. 101. INCREASED EXPENSING FOR SMALL BUSINESS. Subsections (b)(1), (b)(2), (b)(5), (c)(2), and (d)(1)(A)(ii) of section 179 (relating to election to expense certain depreciable business assets) are each amended by striking ""2008"" and inserting ""2010"". SEC. 102. CAPITAL GAINS AND DIVIDENDS RATES. Section 303 of the Jobs and Growth Tax Relief Reconciliation Act of 2003 is amended by striking ""December 31, 2008"" and inserting ""December 31, 2010"". SEC. 103. CONTROLLED FOREIGN CORPORATIONS. (a) Subpart F Exception for Active Financing.--(1) Exempt insurance income.--Paragraph (10) of section 953(e) (relating to application) is amended--(A) by striking ""January 1, 2007"" and inserting ""January 1, 2009"", and (B) by striking ""December 31, 2006"" and inserting ""December 31, 2008"". ... SEC. 301. INCREASE IN ALTERNATIVE MINIMUM TAX EXEMPTION AMOUNT FOR 2006. (a) In General.--Section 55(d)(1) (relating to exemption amount for taxpayers other than corporations) is amended--(1) by striking ""$58,000"" and all that follows through ""2005"" in subparagraph (A) and inserting ""$62,550 in the case of taxable years beginning in 2006"", and (2) by striking ""$40,250"" and all that follows through ""2005"" in subparagraph (B) and inserting ""$42,500 in the case of taxable years beginning in 2006"".","These excerpts were chosen because they detail key provisions of the bill related to tax modifications and budget reconciliation for fiscal year 2006. The sections outline changes to tax rates, exemptions, and deductions, which are central to the budgetary impacts being voted on. This information is crucial for legislators to understand the implications of the bill on tax policy and fiscal planning.",HR4297,100
385,On the Motion,A bill to provide for reconciliation pursuant to section 201(b) of the concurrent resolution on the budget for fiscal year 2006.,"To provide for reconciliation pursuant to section 201(b) of the concurrent resolution on the budget for fiscal year 2006. This Act may be cited as the 'Tax Increase Prevention and Reconciliation Act of 2005'. Increased expensing for small business. Subsections (b)(1), (b)(2), (b)(5), (c)(2), and (d)(1)(A)(ii) of section 179 (relating to election to expense certain depreciable business assets) are each amended by striking '2008' and inserting '2010'. Capital gains and dividends rates. Section 303 of the Jobs and Growth Tax Relief Reconciliation Act of 2003 is amended by striking 'December 31, 2008' and inserting 'December 31, 2010'. Clarification of taxation of certain settlement funds. An escrow account, settlement fund, or similar fund shall be treated as beneficially owned by the United States and shall be exempt from taxation under this subtitle if it is established pursuant to a consent decree entered by a judge of a United States District Court. Increase in alternative minimum tax exemption amount for 2006. Section 55(d)(1) is amended by striking '$58,000' and inserting '$62,550 in the case of taxable years beginning in 2006'. Allowance of nonrefundable personal credits against regular and alternative minimum tax liability. Paragraph (2) of section 26(a) is amended by striking '2005' in the heading thereof and inserting '2006'.","These excerpts detail the main provisions of the bill which include tax modifications, extensions of certain tax benefits, and changes to the treatment of specific financial transactions. They directly relate to the bill's purpose of providing for reconciliation based on the budget resolution for fiscal year 2006, which affects how taxes are levied and exemptions are applied. This context is essential for legislators to understand the implications of their vote on tax policy.",HR4297,200
386,On the Motion,A bill to provide for reconciliation pursuant to section 201(b) of the concurrent resolution on the budget for fiscal year 2006.,"SEC. 101. INCREASED EXPENSING FOR SMALL BUSINESS. Subsections (b)(1), (b)(2), (b)(5), (c)(2), and (d)(1)(A)(ii) of section 179 (relating to election to expense certain depreciable business assets) are each amended by striking ""2008"" and inserting ""2010"". SEC. 102. CAPITAL GAINS AND DIVIDENDS RATES. Section 303 of the Jobs and Growth Tax Relief Reconciliation Act of 2003 is amended by striking ""December 31, 2008"" and inserting ""December 31, 2010"". SEC. 301. INCREASE IN ALTERNATIVE MINIMUM TAX EXEMPTION AMOUNT FOR 2006. (a) In General.--Section 55(d)(1) (relating to exemption amount for taxpayers other than corporations) is amended-- (1) by striking ""$58,000"" and all that follows through ""2005"" in subparagraph (A) and inserting ""$62,550 in the case of taxable years beginning in 2006"", and (2) by striking ""$40,250"" and all that follows through ""2005"" in subparagraph (B) and inserting ""$42,500 in the case of taxable years beginning in 2006"". SEC. 302. ALLOWANCE OF NONREFUNDABLE PERSONAL CREDITS AGAINST REGULAR AND ALTERNATIVE MINIMUM TAX LIABILITY. (a) In General.--Paragraph (2) of section 26(a) is amended-- (1) by striking ""2005"" in the heading thereof and inserting ""2006"", and (2) by striking ""or 2005"" and inserting ""2005, or 2006"".","These excerpts were chosen because they directly relate to the key provisions being amended in the bill, such as the increased expensing for small businesses, modifications to capital gains and dividends rates, and adjustments to the alternative minimum tax exemption amounts. These elements are critical for legislators to understand the financial implications of their vote, particularly in the context of tax relief and budget reconciliation for fiscal year 2006.",HR4297,100
388,On the Cloture Motion,"A bill to clarify that individuals who receive FISA orders can challenge nondisclosure requirements, that individuals who receive national security letters are not required to disclose the name of their attorney, that libraries are not wire or electronic communication service providers unless they provide specific services, and for other purposes.","To clarify that individuals who receive FISA orders can challenge nondisclosure requirements, that individuals who receive national security letters are not required to disclose the name of their attorney, that libraries are not wire or electronic communication service providers unless they provide specific services, and for other purposes.

Subsection (f) of section 501 of the Foreign Intelligence Surveillance Act of 1978 (50 U.S.C. 1861), as amended by the applicable Act, is amended to read as follows: ""(f)(1) In this subsection--(A) the term 'production order' means an order to produce any tangible thing under this section; and (B) the term 'nondisclosure order' means an order imposed under subsection (d)."" (2)(A)(i) A person receiving a production order may challenge the legality of that order by filing a petition with the pool established by section 103(e)(1). Not less than 1 year after the date of the issuance of the production order, the recipient of a production order may challenge the nondisclosure order imposed in connection with such production order by filing a petition to modify or set aside such nondisclosure order, consistent with the requirements of subparagraph (C), with the pool established by section 103(e)(1)."" (ii) The presiding judge shall immediately assign a petition under clause (i) to 1 of the judges serving in the pool established by section 103(e)(1). Not later than 72 hours after the assignment of such petition, the assigned judge shall conduct an initial review of the petition. If the assigned judge determines that the petition is frivolous, the assigned judge shall immediately deny the petition and affirm the production order or nondisclosure order. If the assigned judge determines the petition is not frivolous, the assigned judge shall promptly consider the petition in accordance with the procedures established under section 103(e)(2)."" (C)(i) A judge considering a petition to modify or set aside a nondisclosure order may grant such petition only if the judge finds that there is no reason to believe that disclosure may endanger the national security of the United States, interfere with a criminal, counterterrorism, or counterintelligence investigation, interfere with diplomatic relations, or endanger the life or physical safety of any person. ""(ii) If, upon filing of such a petition, the Attorney General, Deputy Attorney General, an Assistant Attorney General, or the Director of the Federal Bureau of Investigation certifies that disclosure may endanger the national security of the United States or interfere with diplomatic relations, such certification shall be treated as conclusive, unless the judge finds that the certification was made in bad faith.""","These excerpts were chosen because they directly address the key provisions of the bill, which relate to the ability of individuals to challenge nondisclosure requirements imposed by FISA orders. They highlight the judicial review process for such orders, including the criteria under which these challenges can be made. This is crucial for understanding what the legislators are voting on, as it outlines the rights of individuals under national security laws, which is the focus of the vote.",S2271,328
389,On the Cloture Motion,"A bill to clarify that individuals who receive FISA orders can challenge nondisclosure requirements, that individuals who receive national security letters are not required to disclose the name of their attorney, that libraries are not wire or electronic communication service providers unless they provide specific services, and for other purposes.","To clarify that individuals who receive FISA orders can challenge nondisclosure requirements, that individuals who receive national security letters are not required to disclose the name of their attorney, that libraries are not wire or electronic communication service providers unless they provide specific services, and for other purposes.

SEC. 3. JUDICIAL REVIEW OF FISA ORDERS.
Subsection (f) of section 501 of the Foreign Intelligence Surveillance Act of 1978 (50 U.S.C. 1861), as amended by the applicable Act, is amended to read as follows: ""(f)(1) In this subsection--(A) the term 'production order' means an order to produce any tangible thing under this section; and (B) the term 'nondisclosure order' means an order imposed under subsection (d). (2)(A)(i) A person receiving a production order may challenge the legality of that order by filing a petition with the pool established by section 103(e)(1)..."". This section outlines the process for individuals to challenge FISA orders and nondisclosure requirements, which is central to the bill's purpose and directly pertains to the legislators' decision on the cloture motion.

SEC. 4. DISCLOSURES.
(a) FISA.--Subparagraph (C) of section 501(d)(2) of the Foreign Intelligence Surveillance Act of 1978 (50 U.S.C. 1861(d)(2)), as amended by the applicable Act, is amended to read as follows: ""(C) At the request of the Director of the Federal Bureau of Investigation or the designee of the Director, any person making or intending to make a disclosure under subparagraph (A) or (C) of paragraph (1) shall identify to the Director or such designee the person to whom such disclosure will be made or to whom such disclosure was made prior to the request."" The changes regarding disclosures are key to understanding the modifications proposed by the bill and their implications for privacy and legal representation.

SEC. 5. PRIVACY PROTECTIONS FOR LIBRARY PATRONS.
Section 2709 of title 18, United States Code, as amended by the applicable Act, is amended by adding at the end the following: ""(f) Libraries.--A library...is not a wire or electronic communication service provider for purposes of this section, unless the library is providing the services defined in section 2510(15) ('electronic communication service') of this title."" This section is relevant as it delineates the role of libraries in the context of national security letters, highlighting the bill's intent to protect library patrons' privacy.","These excerpts were chosen because they encapsulate the key changes proposed in the bill regarding the challenge of FISA orders and nondisclosure requirements, the implications for legal representation of individuals receiving national security letters, and the specific protections for library patrons. The focus of the vote on the cloture motion centers around these critical aspects of the bill, which directly affect privacy rights and the ability to challenge government orders, making them essential for legislators to understand as they decide on the motion.",S2271,200
390,On the Amendment,To establish the enactment date of the Act.,This Act shall become effective immediately upon enactment.,"This excerpt directly addresses the enactment date of the Act, which is the primary focus of the vote. Legislators are voting on whether to establish this immediate enactment date, making this line the most relevant to the vote.",S2271,200
391,On Passage of the Bill,"A bill to clarify that individuals who receive FISA orders can challenge nondisclosure requirements, that individuals who receive national security letters are not required to disclose the name of their attorney, that libraries are not wire or electronic communication service providers unless they provide specific services, and for other purposes.","SEC. 3. JUDICIAL REVIEW OF FISA ORDERS. Subsection (f) of section 501 of the Foreign Intelligence Surveillance Act of 1978 (50 U.S.C. 1861), as amended by the applicable Act, is amended to read as follows: (2)(A)(i) A person receiving a production order may challenge the legality of that order by filing a petition with the pool established by section 103(e)(1). Not less than 1 year after the date of the issuance of the production order, the recipient of a production order may challenge the nondisclosure order imposed in connection with such production order by filing a petition to modify or set aside such nondisclosure order... (C)(i) A judge considering a petition to modify or set aside a nondisclosure order may grant such petition only if the judge finds that there is no reason to believe that disclosure may endanger the national security of the United States, interfere with a criminal, counterterrorism, or counterintelligence investigation, interfere with diplomatic relations, or endanger the life or physical safety of any person.","This excerpt outlines the judicial review process for individuals receiving FISA orders, specifically their ability to challenge nondisclosure requirements and production orders. It directly addresses the bill's intent to clarify the rights of individuals under surveillance laws, which is central to the legislators' decision on the bill's passage.",S2271,200
396,On the Motion,"A bill to make available funds included in the Deficit Reduction Act of 2005 for the Low-Income Home Energy Assistance Program for fiscal year 2006, and for other purposes.","To make available funds included in the Deficit Reduction Act of 2005 for the Low-Income Home Energy Assistance Program for fiscal year 2006. Section 1. FUNDS FOR LOW-INCOME HOME ENERGY ASSISTANCE PROGRAM. Section 9001 of the Deficit Reduction Act of 2005 is amended-- (1) in subsection (a)-- (A) by striking 'for a 1-time only obligation and expenditure'; (B) in paragraph (1), by striking '$250,000,000 for fiscal year 2007' and inserting '$500,000,000 for fiscal year 2006'; and (C) in paragraph (2), by striking '$750,000,000 for fiscal year 2007' and inserting '$500,000,000 for fiscal year 2006'; (3) by inserting after subsection (a) the following: '(b) Limitation.--None of the funds made available under this section may be used for the planning and administering described in section 2605(b)(9) of the Low-Income Home Energy Assistance Act of 1981 (42 U.S.C. 8624(b)(9)).'; and (4) in subsection (c) (as redesignated by paragraph (2)), by striking 'September 30, 2007' and inserting 'September 30, 2006'.",These excerpts were chosen because they directly outline the purpose and key amendments of the bill regarding funding for the Low-Income Home Energy Assistance Program for the fiscal year 2006. The specific funding amounts and limitations on the use of funds are critical components that legislators are voting on.,S2320,100
399,On the Cloture Motion,"A bill to make available funds included in the Deficit Reduction Act of 2005 for the Low-Income Home Energy Assistance Program for fiscal year 2006, and for other purposes.","To make available funds included in the Deficit Reduction Act of 2005 for the Low-Income Home Energy Assistance Program for fiscal year 2006. Section 1. FUNDS FOR LOW-INCOME HOME ENERGY ASSISTANCE PROGRAM. Section 9001 of the Deficit Reduction Act of 2005 is amended-- (1) in subsection (a)-- (B) in paragraph (1), by striking ``$250,000,000 for fiscal year 2007'' and inserting ``$500,000,000 for fiscal year 2006''; and (C) in paragraph (2), by striking ``$750,000,000 for fiscal year 2007'' and inserting ``$500,000,000 for fiscal year 2006''; (3) by inserting after subsection (a) the following: ``(b) Limitation.--None of the funds made available under this section may be used for the planning and administering described in section 2605(b)(9) of the Low-Income Home Energy Assistance Act of 1981 (42 U.S.C. 8624(b)(9)).''; and (4) in subsection (c) (as redesignated by paragraph (2)), by striking ``September 30, 2007'' and inserting ``September 30, 2006''.","These excerpts were chosen because they directly address the allocation of funds for the Low-Income Home Energy Assistance Program, which is the primary focus of the vote. The excerpts specify the amount of funding for fiscal year 2006, the limitations on the use of those funds, and the amendments to existing legislation, all of which are critical to understanding the implications of the cloture motion.",S2320,328
400,On the Amendment,To improve the distribution of funds to States under there Low-Income Home Energy Assistance Program.,"SECTION 1. FUNDS FOR LOW-INCOME HOME ENERGY ASSISTANCE PROGRAM. Section 9001 of the Deficit Reduction Act of 2005 is amended-- (1) in subsection (a)-- (A) by striking ""for a 1-time only obligation and expenditure""; (B) in paragraph (1), by striking ""$250,000,000 for fiscal year 2007"" and inserting ""$500,000,000 for fiscal year 2006""; and (C) in paragraph (2), by striking ""$750,000,000 for fiscal year 2007"" and inserting ""$500,000,000 for fiscal year 2006""; (2) by redesignating subsection (b) as subsection (c); (3) by inserting after subsection (a) the following: ""(b) Limitation.--None of the funds made available under this section may be used for the planning and administering described in section 2605(b)(9) of the Low-Income Home Energy Assistance Act of 1981 (42 U.S.C. 8624(b)(9)).""; and (4) in subsection (c) (as redesignated by paragraph (2)), by striking ""September 30, 2007"" and inserting ""September 30, 2006"".","These excerpts were chosen because they directly address the amendment to increase funding for the Low-Income Home Energy Assistance Program (LIHEAP) for fiscal year 2006. The vote focuses on improving the distribution of funds to states under this program, and the text outlines the specific changes to funding amounts and restrictions on the use of those funds, which are critical for understanding the implications of the amendment being voted on.",S2320,100
401,On the Amendment,To provide additional transparency in the legislative process.,"SEC. 101. QUARTERLY FILING OF LOBBYING DISCLOSURE REPORTS.
    (a) Quarterly Filing Required.--Section 5 of the Lobbying Disclosure Act of 1995 is amended--
            (1) in subsection (a)--
                    (A) in the heading, by striking ""Semiannual"" and inserting ""Quarterly"";
                    (B) by striking ""45"" and inserting ""20"";
                    (C) by striking ""the semiannual period"" and all that follows through ""July of each year"" and insert ""the quarterly period beginning on the first day of January, April, July, and October of each year"";
                    (D) by striking ""such semiannual period"" and insert ""such quarterly period"";
            (2) in subsection (b)--
                    (A) in the matter preceding paragraph (1), by striking ""semiannual report"" and inserting ""quarterly report"";
                    (B) in paragraph (2), by striking ""semiannual filing period"" and inserting ""quarterly period"";
                    (C) in paragraph (3), by striking ""semiannual period"" and inserting ""quarterly period"";
                    (D) in paragraph (4), by striking ""semiannual filing period"" and inserting ""quarterly period"".
SEC. 102. ELECTRONIC FILING OF LOBBYING REGISTRATIONS AND DISCLOSURE REPORTS.
    (a) Registrations.--Section 4 of the Act is amended--
            (1) by redesignating subsection (d) as subsection (e); and
            (2) by inserting after subsection (c) the following:
    ""(d) Electronic Filing Required.--A registration required to be filed under this section...""
SEC. 103. PUBLIC DATABASE OF LOBBYING DISCLOSURE INFORMATION.
    (a) Database Required.--Section 6 of the Act is amended--
            (1) in paragraph (7), by striking ""and"" at the end;
            (2) in paragraph (8), by striking the period and inserting ""; and"";
            (3) by adding at the end the following:
            ""(9) maintain, and make available to the public over the Internet, without a fee or other access charge, in a searchable, sortable, and downloadable manner, an electronic database that includes the information contained in registrations and reports filed under this Act..."".
SEC. 104. DISCLOSURE BY REGISTERED LOBBYISTS OF PAST EXECUTIVE BRANCH AND CONGRESSIONAL EMPLOYMENT.
    Section 4(b)(6) of the Act is amended by striking ""2 years"" and inserting ""7 years"".
SEC. 105. DISCLOSURE OF LOBBYIST CONTRIBUTIONS AND GIFTS.
    (a) In General.--Section 5(b) of the Act is amended--
            (1) in paragraph (3), by striking ""and"" after the semicolon;
            (2) in paragraph (4), by striking the period and inserting a semicolon; and
            (3) by adding at the end the following:
            ""(5) for each registrant..."".
SEC. 106. INCREASED PENALTY FOR FAILURE TO COMPLY WITH LOBBYING DISCLOSURE REQUIREMENTS.
    Section 7 of the Act is amended--
            (1) by striking ""Whoever"" and inserting ""(a) Civil Penalty.--Whoever"";
            (2) by striking ""$50,000"" and inserting ""$100,000""; and
            (3) by adding at the end the following:
    ""(b) Criminal Penalty.--Whoever knowingly and willfully fails to comply with any provision of this Act shall be imprisoned not more than 3 years..."".","These excerpts were chosen because they directly address the proposed amendments aimed at enhancing transparency in lobbying activities, which is the core focus of the vote. They detail the requirements for quarterly filing of lobbying disclosure reports, electronic filing of registrations, the creation of a public database for lobbying information, and increased penalties for non-compliance. All these measures promote transparency and accountability, aligning with the legislators' intent to improve the legislative process.",S2349,100
402,On the Cloture Motion,"To provide greater transparency with respect to lobbying activities, to amend the Federal Election Campaign Act of 1971 to clarify when organizations described in section 527 of the Internal Revenue Code of 1986 must register as political committees, and for other purposes.","To provide greater transparency with respect to lobbying activities, to amend the Federal Election Campaign Act of 1971 to clarify when organizations described in section 527 of the Internal Revenue Code of 1986 must register as political committees, and for other purposes.

TITLE I--ENHANCING LOBBYING DISCLOSURE

SEC. 101. QUARTERLY FILING OF LOBBYING DISCLOSURE REPORTS.
(a) Quarterly Filing Required.--Section 5 of the Lobbying Disclosure Act of 1995 is amended--
(1) in subsection (a)--(A) in the heading, by striking ""Semiannual"" and inserting ""Quarterly""; (B) by striking ""45"" and inserting ""20""; (C) by striking ""the semiannual period"" and all that follows through ""July of each year"" and insert ""the quarterly period beginning on the first day of January, April, July, and October of each year""; and (D) by striking ""such semiannual period"" and insert ""such quarterly period"";

SEC. 102. ELECTRONIC FILING OF LOBBYING REGISTRATIONS AND DISCLOSURE REPORTS.
(a) Registrations.--Section 4 of the Act is amended--(1) by redesignating subsection (d) as subsection (e); and (2) by inserting after subsection (c) the following: ""(d) Electronic Filing Required.--A registration required to be filed under this section on or after the date of enactment of the Lobbying Accountability and Transparency Act of 2006 shall be filed in electronic form, in addition to any other form that may be required by the Secretary of the Senate or the Clerk of the House of Representatives."".

SEC. 103. PUBLIC DATABASE OF LOBBYING DISCLOSURE INFORMATION.
(a) Database Required.--Section 6 of the Act is amended--(3) by adding at the end the following: ""(9) maintain, and make available to the public over the Internet, without a fee or other access charge, in a searchable, sortable, and downloadable manner, an electronic database that includes the information contained in registrations and reports filed under this Act;"".

SEC. 105. DISCLOSURE OF LOBBYIST CONTRIBUTIONS AND GIFTS.
(a) In General.--Section 5(b) of the Act is amended--(5) for each registrant, and for each employee listed as a lobbyist by the registrant under paragraph (2)(C), the name of each Federal candidate or officeholder, and of each leadership PAC, political party committee, or other political committee to whom a contribution was made; and the date and amount of such contribution;"".

SEC. 106. INCREASED PENALTY FOR FAILURE TO COMPLY WITH LOBBYING DISCLOSURE REQUIREMENTS.
Section 7 of the Act is amended--(1) by striking ""Whoever"" and inserting ""(a) Civil Penalty.--Whoever""; (2) by striking ""$50,000"" and inserting ""$100,000""; and (3) by adding at the end the following: ""(b) Criminal Penalty.--Whoever knowingly and willfully fails to comply with any provision of this Act shall be imprisoned not more than 3 years, or fined under title 18, United States Code, or both."".","These excerpts were chosen because they directly pertain to the amendments aimed at enhancing transparency in lobbying activities and the requirements for organizations to register as political committees. The focus of the vote is on providing greater clarity and oversight regarding lobbying, which is encapsulated in the proposed amendments for quarterly filing of lobbying reports, electronic filing, public databases, and increased penalties for non-compliance. These elements are critical to understanding the implications of the bill for transparency in lobbying and campaign finance.",S2349,200
404,On the Amendment,To fully reinstate the pay-as-you-go requirement through 2011.,"The Congress declares that the concurrent resolution on the budget for fiscal year 2007 is hereby established and that the appropriate budgetary levels for fiscal years 2006 and 2008 through 2011 are set forth. The following budgetary levels are appropriate for each of fiscal years 2006 through 2011: (1) Federal revenues.--For purposes of the enforcement of this resolution: (A) The recommended levels of Federal revenues are as follows: Fiscal year 2006: $1,694,455,000,000. Fiscal year 2007: $1,791,029,000,000. Fiscal year 2008: $1,916,175,000,000. Fiscal year 2009: $2,013,680,000,000. Fiscal year 2010: $2,123,149,000,000. Fiscal year 2011: $2,204,105,000,000. (2) New budget authority.--For purposes of the enforcement of this resolution, the appropriate levels of total new budget authority are as follows: Fiscal year 2006: $2,279,715,000,000. Fiscal year 2007: $2,324,427,000,000. Fiscal year 2008: $2,340,654,000,000. Fiscal year 2009: $2,430,872,000,000. Fiscal year 2010: $2,533,991,000,000. Fiscal year 2011: $2,656,422,000,000.","These excerpts provide concrete details on the budgetary levels for federal revenues and new budget authority for fiscal years 2006 through 2011, which are essential for understanding the fiscal context of the amendment. The amendment aims to fully reinstate the pay-as-you-go requirement, meaning any new spending must be offset by new revenues. Therefore, these financial figures are directly relevant to the discussion of the amendment and its implications.",SCONRES83,100
405,On the Amendment,"To support college access and job training by: (1) restoring program cuts slated for vocational education, TRIO, GEAR UP, Perkins Loans, and other student aid programs; (2) increasing investment in student aid programs, including increasing the maximum Pell Grant to $4,500; and (3) restoring cuts slated for job training programs; paid for by closing $6.3 billion in corporate tax loopholes.","To support college access and job training by: (1) restoring program cuts slated for vocational education, TRIO, GEAR UP, Perkins Loans, and other student aid programs; (2) increasing investment in student aid programs, including increasing the maximum Pell Grant to $4,500; and (3) restoring cuts slated for job training programs; paid for by closing $6.3 billion in corporate tax loopholes.","These excerpts directly address the core objectives of the amendment, which focuses on enhancing college access and job training by restoring funding to critical educational programs and increasing Pell Grants. They also highlight the proposed funding mechanism through closing corporate tax loopholes, making them essential for understanding the implications of the vote.",SCONRES83,100
406,On the Amendment,"To provide increased funding for veterans health programs, and to negate the need for enrollment fees and increase in pharmacy co-payments.","SEC. 101. RECOMMENDED LEVELS AND AMOUNTS. The following budgetary levels are appropriate for each of fiscal years 2006 through 2011: (1) Federal revenues.--For purposes of the enforcement of this resolution: (A) The recommended levels of Federal revenues are as follows: Fiscal year 2006: $1,694,455,000,000. Fiscal year 2007: $1,791,029,000,000. Fiscal year 2008: $1,916,175,000,000. Fiscal year 2009: $2,013,680,000,000. Fiscal year 2010: $2,123,149,000,000. Fiscal year 2011: $2,204,105,000,000. (2) New budget authority.--For purposes of the enforcement of this resolution, the appropriate levels of total new budget authority are as follows: Fiscal year 2006: $2,279,715,000,000. Fiscal year 2007: $2,324,427,000,000. Fiscal year 2008: $2,340,654,000,000. Fiscal year 2009: $2,430,872,000,000. Fiscal year 2010: $2,533,991,000,000. Fiscal year 2011: $2,656,422,000,000. (3) Budget outlays.--For purposes of the enforcement of this resolution, the appropriate levels of total budget outlays are as follows: Fiscal year 2006: $2,246,519,000,000. Fiscal year 2007: $2,348,772,000,000. Fiscal year 2008: $2,381,975,000,000. Fiscal year 2009: $2,442,802,000,000. Fiscal year 2010: $2,532,095,000,000. Fiscal year 2011: $2,646,631,000,000. (15) Veterans Benefits and Services (700): Fiscal year 2006: (A) New budget authority, $72,041,000,000. (B) Outlays, $69,843,000,000. Fiscal year 2007: (A) New budget authority, $74,817,000,000. (B) Outlays, $73,792,000,000. Fiscal year 2008: (A) New budget authority, $76,984,000,000. (B) Outlays, $77,333,000,000. Fiscal year 2009: (A) New budget authority, $77,907,000,000. (B) Outlays, $78,204,000,000. Fiscal year 2010: (A) New budget authority, $78,360,000,000. (B) Outlays, $78,496,000,000. Fiscal year 2011: (A) New budget authority, $82,561,000,000. (B) Outlays, $82,487,000,000.","These excerpts are relevant to the vote on the amendment to provide increased funding for veterans health programs. They outline the recommended budgetary levels specifically for veterans benefits and services, including new budget authority and outlays for fiscal years 2006 through 2011. The specific financial figures demonstrate the commitment to funding veterans' health programs, which aligns with the goals of the amendment being voted on.",SCONRES83,328
407,On the Amendment,To increase Veterans medical services funding by $1.5 billion in FY 2007 to be paid for by closing corporate tax loopholes.,"SEC. 101. RECOMMENDED LEVELS AND AMOUNTS. The following budgetary levels are appropriate for each of fiscal years 2006 through 2011: (5) Veterans Benefits and Services (700): Fiscal year 2006: (A) New budget authority, $72,041,000,000. (B) Outlays, $69,843,000,000. Fiscal year 2007: (A) New budget authority, $74,817,000,000. (B) Outlays, $73,792,000,000. Fiscal year 2008: (A) New budget authority, $76,984,000,000. (B) Outlays, $77,333,000,000. Fiscal year 2009: (A) New budget authority, $77,907,000,000. (B) Outlays, $78,204,000,000. Fiscal year 2010: (A) New budget authority, $78,360,000,000. (B) Outlays, $78,496,000,000. Fiscal year 2011: (A) New budget authority, $82,561,000,000. (B) Outlays, $82,487,000,000.","These excerpts detail the proposed budgetary levels for Veterans Benefits and Services, which are directly relevant to the vote on the amendment to increase Veterans medical services funding by $1.5 billion in FY 2007. The specific figures for new budget authority highlight how the amendment would impact the funding allocated to veterans' services.",SCONRES83,100
